Z,A,E0,ThetaDeg,Q2,Q2center,qv,qvcenter,ThetaRad,sin2(T/2),Veff,Eeff,nu,RT,RTerr
26,56,0.1546,180,0.037932,0.04,,,3.141592654,1,0.0089,0.1635,0.10233792,31.90064197,1.335436779
26,56,0.1546,180,0.0574866,0.056,,,3.141592654,1,0.0089,0.1635,0.077873089,56.59502365,1.696452108
26,56,0.1546,180,0.0965958,0.093,,,3.141592654,1,0.0089,0.1635,0.021298165,26.82382894,0.836762198
26,56,0.1546,180,,,0.2116,0.205,3.141592654,1,0.0089,0.1635,0.122,22.13840294,2.020881746
26,56,0.1546,180,,,0.2415,0.24,3.141592654,1,0.0089,0.1635,0.087,45.3901776,1.564386146
26,56,0.1546,180,,,0.3012,0.3,3.141592654,1,0.0089,0.1635,0.027,34.92756242,0.836762198
26,56,0.1737,180,0.04177888,0.04,,,3.141592654,1,0.0089,0.1826,0.127835487,40.49640112,1.262511841
26,56,0.1737,180,0.05631384,0.056,,,3.141592654,1,0.0089,0.1826,0.105929682,46.43985288,1.283210109
26,56,0.1737,180,0.09261472,0.093,,,3.141592654,1,0.0089,0.1826,0.055272508,70.81055529,1.849868261
26,56,0.1737,180,0.1216116,0.12,,,3.141592654,1,0.0089,0.1826,0.018306462,24.76166311,0.612079898
26,56,0.1737,180,,,0.2398,0.24,3.141592654,1,0.0089,0.1826,0.1252,39.03322991,1.262511841
26,56,0.1737,180,,,0.3094,0.3,3.141592654,1,0.0089,0.1826,0.0652,77.62268361,1.987575361
26,56,0.1922,180,0.0526882,0.056,,,3.141592654,1,0.0089,0.2011,0.131482894,40.98501525,1.238719201
26,56,0.1922,180,0.09266688,0.093,,,3.141592654,1,0.0089,0.2011,0.085485878,86.03524266,2.187622131
26,56,0.1922,180,0.124682,0.12,,,3.141592654,1,0.0089,0.2011,0.051920487,67.29530943,1.872095385
26,56,0.1922,180,,,0.3064,0.3,3.141592654,1,0.0089,0.2011,0.1022,72.4585627,1.807770723
26,56,0.1922,180,,,0.3859,0.38,3.141592654,1,0.0089,0.2011,0.0222,28.13389381,0.88707166
26,56,0.2065,180,0.09425904,0.093,,,3.141592654,1,0.0089,0.2154,0.107461281,81.1338354,2.107296859
26,56,0.2065,180,0.11993472,0.12,,,3.141592654,1,0.0089,0.2154,0.076124234,85.23805035,2.181920972
26,56,0.2065,180,0.16275624,0.16,,,3.141592654,1,0.0089,0.2154,0.029698979,32.85168259,0.717437378
26,56,0.2065,180,,,0.3049,0.3,3.141592654,1,0.0089,0.2154,0.1308,66.56617435,1.641878898
26,56,0.2211,180,0.095588,0.093,,,3.141592654,1,0.0089,0.23,0.128913043,63.70091374,1.668273153
26,56,0.2211,180,0.123004,0.12,,,3.141592654,1,0.0089,0.23,0.099565217,85.35385155,2.161825169
26,56,0.2211,180,0.15962,0.16,,,3.141592654,1,0.0089,0.23,0.056086957,59.88902448,1.536925948
26,56,0.2211,180,,,0.3041,0.3,3.141592654,1,0.0089,0.23,0.16,39.62424797,1.227413622
26,56,0.2356,180,0.096333,0.093,,,3.141592654,1,0.0089,0.2445,0.149407975,59.46870147,1.592684756
26,56,0.2356,180,0.1254774,0.12,,,3.141592654,1,0.0089,0.2445,0.121800613,84.70207308,2.135643297
26,56,0.2356,180,0.164304,0.16,,,3.141592654,1,0.0089,0.2445,0.080900818,78.21661666,1.89599484
26,56,0.2356,180,,,0.3133,0.3,3.141592654,1,0.0089,0.2445,0.189,48.00357545,1.644319808
26,56,0.2356,180,,,0.3827,0.38,3.141592654,1,0.0089,0.2445,0.109,90.2377183,2.245861876
26,56,0.2356,180,,,0.472,0.475,3.141592654,1,0.0089,0.2445,0.014,6.737828527,0.288892191
26,56,0.2519,180,0.2644512,0.265,,,3.141592654,1,0.0089,0.2608,0.006773926,0.28726222,0.069214651
26,56,0.2519,180,0.09879104,0.093,,,3.141592654,1,0.0089,0.2608,0.171651227,50.58015365,1.536402566
26,56,0.2519,180,0.16096576,0.16,,,3.141592654,1,0.0089,0.2608,0.107425767,89.25490925,2.382025312
26,56,0.2519,180,,,0.3853,0.38,3.141592654,1,0.0089,0.2608,0.1416,75.88619975,1.94824203
26,56,0.2519,180,,,0.4647,0.475,3.141592654,1,0.0089,0.2608,0.0466,33.72919976,0.962118118
26,56,0.2712,180,0.09400156,0.093,,,3.141592654,1,0.0089,0.2801,0.197093931,64.95991848,2.112572565
26,56,0.2712,180,0.12727744,0.12,,,3.141592654,1,0.0089,0.2801,0.172995395,63.37526827,1.696338627
26,56,0.2712,180,0.16066536,0.16,,,3.141592654,1,0.0089,0.2801,0.137293859,89.74507817,2.320939761
26,56,0.2712,180,0.26071708,0.265,,,3.141592654,1,0.0089,0.2801,0.04357733,20.79759008,0.685482877
26,56,0.2712,180,,,0.3838,0.38,3.141592654,1,0.0089,0.2801,0.1802,61.38166365,1.696338627
26,56,0.2712,180,,,0.4731,0.475,3.141592654,1,0.0089,0.2801,0.0852,64.6487314,1.740429515
26,56,0.2928,180,0.126714,0.12,,,3.141592654,1,0.0089,0.3017,0.202263474,68.27665297,1.844641765
26,56,0.2928,180,0.16267664,0.16,,,3.141592654,1,0.0089,0.3017,0.169117965,83.90581121,2.135512437
26,56,0.2928,180,0.2703232,0.265,,,3.141592654,1,0.0089,0.3017,0.082111004,49.18998775,1.196515135
26,56,0.2928,180,,,0.3769,0.38,3.141592654,1,0.0089,0.3017,0.2234,80.51967974,3.125094445
26,56,0.2928,180,,,0.4761,0.475,3.141592654,1,0.0089,0.3017,0.1284,93.84616908,2.438597042
26,56,0.2928,180,,,0.5753,0.57,3.141592654,1,0.0089,0.3017,0.0334,5.105519386,0.236571721
26,56,0.3122,180,0.12150424,0.12,,,3.141592654,1,0.0089,0.3211,0.227671162,69.24230914,1.950597691
26,56,0.3122,180,0.15965092,0.16,,,3.141592654,1,0.0089,0.3211,0.196528216,70.60304157,2.014133232
26,56,0.3122,180,0.2613754,0.265,,,3.141592654,1,0.0089,0.3211,0.114777982,68.73284151,1.991944579
26,56,0.3122,180,0.37581544,0.38,,,3.141592654,1,0.0089,0.3211,0.025242012,1.148452595,0.078617842
26,56,0.3122,180,,,0.4751,0.475,3.141592654,1,0.0089,0.3211,0.1672,83.57617113,2.257596441
26,56,0.3122,180,,,0.5741,0.57,3.141592654,1,0.0089,0.3211,0.0722,23.78482233,0.633355664
26,56,0.3331,180,0.15732,0.16,,,3.141592654,1,0.0089,0.342,0.225040936,78.34476515,2.038126001
26,56,0.3331,180,0.2656656,0.265,,,3.141592654,1,0.0089,0.342,0.14828655,84.13678997,2.216169435
26,56,0.3331,180,0.3875544,0.38,,,3.141592654,1,0.0089,0.342,0.064222222,10.50946091,0.501432522
26,56,0.3331,180,,,0.4768,0.475,3.141592654,1,0.0089,0.342,0.209,75.33767312,2.053868331
26,56,0.3331,180,,,0.5758,0.57,3.141592654,1,0.0089,0.342,0.114,52.35132545,1.516559107
26,56,0.5553,180,0.38094784,0.38,,,3.141592654,1,0.0089,0.5642,0.395819993,78.15967072,2.925707
26,56,0.5553,180,0.50281504,0.5,,,3.141592654,1,0.0089,0.5642,0.342647359,55.28469611,2.184436933
26,56,0.5553,180,,,0.7532,0.756,3.141592654,1,0.0089,0.5642,0.3724,61.19118113,2.357338223
